# Q2   W    cos(theta_cm)   sigma_T   sigma_L   sigma_TT   sigma_LT   sigma_LTp
1.0   2.00   -0.5           0.20      0.05      -0.01      0.02       0.00
1.0   2.00    0.0           0.22      0.06      -0.01      0.02       0.00
1.0   2.00    0.5           0.24      0.07      -0.02      0.03       0.00
2.0   2.00   -0.5           0.15      0.04      -0.01      0.02       0.00
2.0   2.00    0.0           0.17      0.05      -0.01      0.02       0.00
2.0   2.00    0.5           0.19      0.06      -0.01      0.03       0.00
1.0   2.20   -0.5           0.28      0.07      -0.02      0.03       0.00
1.0   2.20    0.0           0.30      0.08      -0.02      0.03       0.00
1.0   2.20    0.5           0.32      0.09      -0.03      0.04       0.00
2.0   2.20   -0.5           0.21      0.06      -0.02      0.03       0.00
2.0   2.20    0.0           0.23      0.07      -0.02      0.03       0.00
2.0   2.20    0.5           0.25      0.08      -0.02      0.04       0.00
